Assembly Accession,Assembly BioSample Description Organism Name,ANI Best ANI match ANI,ANI Best ANI match Assembly,ANI Best ANI match Assembly Coverage,ANI Best ANI match Type Category,ANI Best ANI match Organism,ANI Best ANI match Type Assembly Coverage,ANI Best match status,ANI Category,ANI Check status,ANI Comment,ANI Declared ANI match ANI,ANI Declared ANI match Assembly,ANI Declared ANI match Assembly Coverage,ANI Declared ANI match Type Category,ANI Declared ANI match Organism,ANI Declared ANI match Type Assembly Coverage,ANI Submitted organism,ANI Submitted species,Annotation Count Gene Non-coding,Annotation Count Gene Other,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Annotation Count Gene Total,Annotation Method,Annotation Provider,Annotation Release Date,Annotation Software Version,Assembly Assembly Method,Assembly Atypical Is Atypical,Assembly Atypical Warnings,Assembly BioProject Accession,Assembly BioProject Lineage Accession,Assembly BioProject Lineage Parent Accessions,Assembly BioProject Lineage Title,Assembly BioSample Accession,Assembly BioSample Attribute Name,Assembly BioSample Attribute Value,Assembly BioSample Biomaterial provider,Assembly BioSample BioProject Accession,Assembly BioSample Collected by,Assembly BioSample Collection date,Assembly BioSample Description Comment,Assembly BioSample Description Organism Name,Assembly BioSample Description Organism Taxonomic ID,Assembly BioSample Description Title,Assembly BioSample Development stage,Assembly BioSample Geographic location,Assembly BioSample Host,Assembly BioSample Identified by,Assembly BioSample Sample Identifiers Database,Assembly BioSample Sample Identifiers Value,Assembly BioSample IFSAC category,Assembly BioSample Isolate,Assembly BioSample Isolate name alias,Assembly BioSample Isolation source,Assembly BioSample Last updated,Assembly BioSample Latitude and Longitude,Assembly BioSample Models,Assembly BioSample Owner Contact Lab,Assembly BioSample Owner Name,Assembly BioSample Package,Assembly BioSample Project name,Assembly BioSample Publication date,Assembly BioSample Sample name,Assembly BioSample Status Status,Assembly BioSample Status When,Assembly BioSample Strain,Assembly BioSample Submission date,Assembly BioSample Tissue,Assembly Level,Assembly Name,Assembly Notes ,Assembly Paired Assembly Accession,Assembly Paired Assembly Name,Assembly Paired Assembly Status,Assembly Refseq Category,Assembly Release Date,Assembly Sequencing Tech,Assembly Status,Assembly Submitter,Assembly Type,Assembly Stats ATGC Count,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats GC Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Component Sequences,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,Assembly Stats Scaffold L50,Assembly Stats Scaffold N50,Assembly Stats Total Number of Chromosomes,Assembly Stats Total Sequence Length,Assembly Stats Total Ungapped Length,CheckM completeness,CheckM completeness percentile,CheckM contamination,CheckM marker set,CheckM marker set rank,CheckM species tax id,CheckM version,Current Accession,Organism Infraspecific Names Isolate,Organism Infraspecific Names Strain,Organism Name,Organism Taxonomic ID,Source Database,WGS project accession,WGS URL
GCA_038900315.1,Neptuniibacter pectenicola,98.75,GCA_001597735.1,89.37999725,type,Neptuniibacter pectenicola,88.51999664,species_match,category_na,OK,na,98.75,GCA_001597735.1,89.37999725,type,Neptuniibacter pectenicola,88.51999664,Neptuniibacter pectenicola,Neptuniibacter pectenicola,60,,3294,16,3370,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-03-29,6.7,SPAdes v. 3.13.0,,,PRJNA996876,PRJNA996876,,Community enrichment and isolation of bacterial strains for fucoidan degradation,SAMN40603969,strain,AS76,,PRJNA996876,,2019-03-30,Keywords: GSC:MIxS;MIGS:6.0,Neptuniibacter pectenicola,1806669,MIGS Cultured Bacterial/Archaeal sample from Neptuniibacter pectenicola,,"USA:Canoe Beach, Nahant, MA",,,,AS76,,,,,2025-07-15T12:42:29.940,42.420 N 70.907 W,"MIGS.ba,MIGS/MIMS/MIMARKS.water",,ETH Zurich,MIGS.ba.water.6.0,,2024-04-30T00:52:40.703,,live,2024-04-30T00:52:40.703,AS76,2024-03-25T15:12:06.693,,Contig,ASM3890031v1,,GCF_038900315.1,GCF_038900315.1-RS_2025_05_04,current,,2024-04-30,Illumina NextSeq,current,PRINCIPLES OF MICROBIAL ECOSYSTEMS,haploid,3597163,6,182398,1647847,46,200,31,31,31,6,182398,,3597163,3597163,99.94999695,66.66670227,2.599999905,Oceanospirillaceae,family,1806669,v1.2.3,GCA_038900315.1,,AS76,Neptuniibacter pectenicola,1806669,SOURCE_DATABASE_GENBANK,JBBMRA01,https://www.ncbi.nlm.nih.gov/nuccore/JBBMRA000000000.1
GCA_039522875.1,Marinomonas primoryensis,99.98999786,GCA_013372285.1,99.91999817,type,Marinomonas primoryensis,98.56999969,species_match,type,OK,na,99.98999786,GCA_013372285.1,99.91999817,type,Marinomonas primoryensis,98.56999969,Marinomonas primoryensis,Marinomonas primoryensis,70,2,3666,,3738,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),2024-02-01,,SOAPdenovo v. 2.04; SPAdes v. 3.13.0; Velvet v. 1.2.10; Platanus-b v. 1.2.55,,,PRJDB10510,PRJDB10510,PRJDB9057,De novo sequencing and analysis for JCM strains in GCM 10K project,SAMD00644979,sample_name,Marinomonas primoryensis strain JCM 11775 genome sample,,PRJDB10510,,missing,,Marinomonas primoryensis,178399,Marinomonas primoryensis strain JCM 11775 genome sample,,Russia,,,,,,,,Coastal sea-ice in Amursky Bay of the Sea of Japan,2024-02-01T01:53:02.000,,Generic,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),Generic.1.0,,2024-02-01T00:00:00.000,Marinomonas primoryensis strain JCM 11775 genome sample,live,2024-02-02T01:04:27.505,JCM 11775,2024-02-02T01:04:27.505,,Contig,ASM3952287v1,,GCF_039522875.1,GCF_039522875.1-RS_2024_05_10,current,,2024-02-23,MGISEQ-2000,current,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),haploid,4013679,4,412331,1738889,43.5,161,32,32,32,4,412331,,4013687,4013687,95.61000061,62.5,1.539999962,Marinomonas,genus,178399,v1.2.3,GCA_039522875.1,,JCM 11775,Marinomonas primoryensis,178399,SOURCE_DATABASE_GENBANK,BAAAEF01,https://www.ncbi.nlm.nih.gov/nuccore/BAAAEF000000000.1
GCA_039523155.1,Marinobacterium maritimum,83.37000275,GCA_039523255.1,59.88999939,type,Marinobacterium sediminicola,68.69999695,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinobacterium maritimum,Marinobacterium maritimum,74,2,3636,,3712,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),2024-02-01,,SOAPdenovo v. 2.04; SPAdes v. 3.13.0; Velvet v. 1.2.10; Platanus-b v. 1.2.69,,,PRJDB10510,PRJDB10510,PRJDB9057,De novo sequencing and analysis for JCM strains in GCM 10K project,SAMD00644993,sample_name,Marinobacterium maritimum strain JCM 15134 genome sample,,PRJDB10510,,missing,,Marinobacterium maritimum,500162,Marinobacterium maritimum strain JCM 15134 genome sample,,missing,,,,,,,,Arctic marine sediment,2024-02-01T01:53:02.000,,Generic,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),Generic.1.0,,2024-02-01T00:00:00.000,Marinobacterium maritimum strain JCM 15134 genome sample,live,2024-02-02T01:04:27.784,JCM 15134,2024-02-02T01:04:27.784,,Scaffold,ASM3952315v1,,GCF_039523155.1,GCF_039523155.1-RS_2024_05_10,current,reference genome,2024-02-23,MGISEQ-2000,current,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),haploid,4035317,2,754479,2337022,58,109,14,18,14,2,1039157,,4035704,4035317,86.84999847,,4.78000021,Marinobacterium,genus,500162,v1.2.3,GCA_039523155.1,,JCM 15134,Marinobacterium maritimum,500162,SOURCE_DATABASE_GENBANK,BAAAET01,https://www.ncbi.nlm.nih.gov/nuccore/BAAAET000000000.1
GCA_039523255.1,Marinobacterium sediminicola,99.98999786,GCA_900184155.1,99.76000214,type,Marinobacterium sediminicola,99.76000214,species_match,type,OK,na,99.98999786,GCA_900184155.1,99.76000214,type,Marinobacterium sediminicola,99.76000214,Marinobacterium sediminicola,Marinobacterium sediminicola,79,,3199,,3278,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),2024-02-01,,SOAPdenovo v. 2.04; SPAdes v. 3.13.0; Velvet v. 1.2.10; Platanus-b v. 1.2.74,,,PRJDB10510,PRJDB10510,PRJDB9057,De novo sequencing and analysis for JCM strains in GCM 10K project,SAMD00644998,sample_name,Marinobacterium sediminicola strain JCM 15524 genome sample,,PRJDB10510,,missing,,Marinobacterium sediminicola,518898,Marinobacterium sediminicola strain JCM 15524 genome sample,,China,,,,,,,,Marine sediment sample of Zhejiang,2024-02-01T01:53:02.000,,Generic,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),Generic.1.0,,2024-02-01T00:00:00.000,Marinobacterium sediminicola strain JCM 15524 genome sample,live,2024-02-02T01:04:27.928,JCM 15524,2024-02-02T01:04:27.928,,Scaffold,ASM3952325v1,,GCF_039523255.1,GCF_039523255.1-RS_2024_05_10,current,reference genome,2024-02-23,MGISEQ-2000,current,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),haploid,3516859,6,212923,1975118,56,164,29,32,29,5,222062,,3517148,3516859,87.06999969,,3.579999924,Marinobacterium,genus,518898,v1.2.3,GCA_039523255.1,,JCM 15524,Marinobacterium sediminicola,518898,SOURCE_DATABASE_GENBANK,BAAAEY01,https://www.ncbi.nlm.nih.gov/nuccore/BAAAEY000000000.1
GCA_039523315.1,Marinomonas arenicola,82.87000275,GCA_003387375.1,65.5,type,Marinomonas pollencensis,63.27000046,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinomonas arenicola,Marinomonas arenicola,76,,3379,,3455,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),2024-02-01,,SOAPdenovo v. 2.04; SPAdes v. 3.13.0; Velvet v. 1.2.10; Platanus-b v. 1.2.77,,,PRJDB10510,PRJDB10510,PRJDB9057,De novo sequencing and analysis for JCM strains in GCM 10K project,SAMD00645001,sample_name,Marinomonas arenicola strain JCM 15737 genome sample,,PRJDB10510,,missing,,Marinomonas arenicola,569601,Marinomonas arenicola strain JCM 15737 genome sample,,Russia,,,,,,,,Marine sandy sample from the Sea of Japan,2024-02-01T01:53:02.000,,Generic,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),Generic.1.0,,2024-02-01T00:00:00.000,Marinomonas arenicola strain JCM 15737 genome sample,live,2024-02-02T01:04:27.968,JCM 15737,2024-02-02T01:04:27.968,,Scaffold,ASM3952331v1,,GCF_039523315.1,GCF_039523315.1-RS_2024_05_10,current,reference genome,2024-02-23,MGISEQ-2000,current,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),haploid,3737675,27,50946,1708162,45.5,313,12,120,12,2,987494,,3744044,3737675,93.25,33.33330154,4.139999866,Marinomonas,genus,569601,v1.2.3,GCA_039523315.1,,JCM 15737,Marinomonas arenicola,569601,SOURCE_DATABASE_GENBANK,BAAAFB01,https://www.ncbi.nlm.nih.gov/nuccore/BAAAFB000000000.1
GCA_039537985.1,Litoribacillus peritrichatus,90.87000275,GCA_020532605.1,0.439999998,type,Marinomonas algarum,0.680000007,low_coverage,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Litoribacillus peritrichatus,Litoribacillus peritrichatus,62,2,4559,,4623,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),2024-02-01,,SOAPdenovo v. 2.04; SPAdes v. 3.13.0; Velvet v. 1.2.10; Platanus-b v. 1.2.674,,,PRJDB10510,PRJDB10510,PRJDB9057,De novo sequencing and analysis for JCM strains in GCM 10K project,SAMD00645598,sample_name,Litoribacillus peritrichatus strain JCM 17551 genome sample,,PRJDB10510,,2009-11-14,,Litoribacillus peritrichatus,718191,Litoribacillus peritrichatus strain JCM 17551 genome sample,,China,,,,,,,,Amphioxus farm in coastal waters in Qingdao,2024-02-01T01:53:02.000,,Generic,,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),Generic.1.0,,2024-02-01T00:00:00.000,Litoribacillus peritrichatus strain JCM 17551 genome sample,live,2024-02-02T01:04:42.765,JCM 17551,2024-02-02T01:04:42.765,,Scaffold,ASM3953798v1,,GCF_039537985.1,GCF_039537985.1-RS_2025_05_10,current,reference genome,2024-02-23,MGISEQ-2000,current,WFCC-MIRCEN World Data Centre for Microorganisms (WDCM),haploid,5082056,6,358515,2314677,45.5,113,17,39,17,2,1478532,,5083356,5082056,99.55999756,,2.769999981,Oceanospirillaceae,family,718191,v1.2.3,GCA_039537985.1,,JCM 17551,Litoribacillus peritrichatus,718191,SOURCE_DATABASE_GENBANK,BAABBN01,https://www.ncbi.nlm.nih.gov/nuccore/BAABBN000000000.1
GCA_039939215.1,Marinomonas sp. 5E14-1,82.09999847,GCA_000521805.1,34.22000122,type,Marinomonas ushuaiensis,32.34999847,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp. 5E14-1,Marinomonas sp. 5E14-1,74,,2944,17,3035,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-24,6.7,SOAPdenovo v. 2.04,,,PRJNA1112556,PRJNA1112556,,Marinomonas sp. 5E14-1 Genome sequencing,SAMN41430687,strain,5E14-1,,PRJNA1112556,,2021-06,,Marinomonas sp. 5E14-1,3153922,Microbe sample from Marinomonas sp. 5E14-1,,not applicable,,,,5E14-1,,,,kelp,2024-05-22T10:01:02.590,,"Microbe, viral or environmental",,ShanDong University,Microbe.1.0,,2024-05-17T00:00:00.000,,live,2024-05-22T09:15:06.385,5E14-1,2024-05-17T01:25:03.927,,Contig,ASM3993921v1,,GCF_039939215.1,GCF_039939215.1-RS_2024_05_30,current,,2024-05-30,Illumina NovaSeq,current,ShanDong University,haploid,3160055,6,222260,1325975,42,370,44,44,44,6,222260,,3160055,3160055,85.34999847,,2.019999981,Marinomonas,genus,3153922,v1.2.2,GCA_039939215.1,,5E14-1,Marinomonas sp. 5E14-1,3153922,SOURCE_DATABASE_GENBANK,JBDXMW01,https://www.ncbi.nlm.nih.gov/nuccore/JBDXMW000000000.1
GCA_039939535.1,Marinomonas sp.,80.86000061,GCA_012972675.1,1.49000001,type,Pontixanthobacter rizhaonensis,1.610000014,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,44,,2857,8,2909,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-25,6.7,MEGAHIT v. 1.2.9,,,PRJNA1050779,PRJNA1050779,,Investigating the relationship between microbial network features of giant kelp seedbank cultures and subsequent farm performance,SAMN39639561,isolate,AQ.28.F.A5_164_008,,PRJNA1050779,,2018-01-23,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,gametophyte,"USA:California, Arroyo Quemado",Macrocystis pyrifera,,,AQ.28.F.A5_164_008,,AQ.28.F.A5_164_008,,spore release from mature blade,2024-03-15T11:50:32.083,not collected,MIMAG.plant-associated,,University of Southern California,MIMAG.plant-associated.6.0,,2024-01-30T00:00:00.000,,live,2024-01-30T08:16:15.087,,2024-01-28T17:53:09.576,,Contig,ASM3993953v1,derived from metagenome,,,,,2024-05-30,Illumina S4 Novaseq,current,University of Southern California,haploid,3008591,2,1364656,1681282,56,3.585,87,87,87,2,1364656,,3008591,3008591,,,,,,,,GCA_039939535.1,AQ.28.F.A5_164_008,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBDVIW01,https://www.ncbi.nlm.nih.gov/nuccore/JBDVIW000000000.1
GCA_039940315.1,Marinomonas sp.,95.80999756,GCA_001028705.1,3.420000076,type,Croceicoccus naphthovorans,2.75,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,43,,2894,12,2949,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-25,6.7,MEGAHIT v. 1.2.9,,,PRJNA1050779,PRJNA1050779,,Investigating the relationship between microbial network features of giant kelp seedbank cultures and subsequent farm performance,SAMN39639511,isolate,CB.48.F.D1_157_13,,PRJNA1050779,,2018-02-01,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,gametophyte,"USA:California, Camp Pendleton",Macrocystis pyrifera,,,CB.48.F.D1_157_13,,CB.48.F.D1_157_13,,spore release from mature blade,2024-03-15T11:50:31.194,not collected,MIMAG.plant-associated,,University of Southern California,MIMAG.plant-associated.6.0,,2024-01-30T00:00:00.000,,live,2024-01-30T08:16:14.627,,2024-01-28T17:53:09.066,,Contig,ASM3994031v1,derived from metagenome,,,,,2024-05-30,Illumina S4 Novaseq,current,University of Southern California,haploid,3103417,2,1364656,1738399,56,175.658,13,13,13,2,1364656,,3103417,3103417,,,,,,,,GCA_039940315.1,CB.48.F.D1_157_13,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBDVGY01,https://www.ncbi.nlm.nih.gov/nuccore/JBDVGY000000000.1
GCA_039940335.1,Marinomonas sp.,90.37999725,GCA_052747885.1,85.26000214,type,Marinomonas dokdonensis,86.65000153,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,64,,3087,7,3158,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-25,6.7,MEGAHIT v. 1.2.9,,,PRJNA1050779,PRJNA1050779,,Investigating the relationship between microbial network features of giant kelp seedbank cultures and subsequent farm performance,SAMN39639509,isolate,CB.48.F.D1_157_1,,PRJNA1050779,,2018-02-01,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,gametophyte,"USA:California, Camp Pendleton",Macrocystis pyrifera,,,CB.48.F.D1_157_1,,CB.48.F.D1_157_1,,spore release from mature blade,2024-03-15T11:50:31.161,not collected,MIMAG.plant-associated,,University of Southern California,MIMAG.plant-associated.6.0,,2024-01-30T00:00:00.000,,live,2024-01-30T08:16:14.612,,2024-01-28T17:53:09.046,,Contig,ASM3994033v1,derived from metagenome,GCF_039940335.1,GCF_039940335.1-RS_2025_11_17,current,,2024-05-30,Illumina S4 Novaseq,current,University of Southern California,haploid,3386214,3,485880,1502261,44.5,21.975,17,17,17,3,485880,,3386214,3386214,91.12000275,68.4210968,2.24000001,Marinomonas,genus,1904862,v1.2.4,GCA_039940335.1,CB.48.F.D1_157_1,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBDVGW01,https://www.ncbi.nlm.nih.gov/nuccore/JBDVGW000000000.1
GCA_039968255.1,Marinomonas sp.,80.58000183,GCA_012972675.1,1.460000038,type,Pontixanthobacter rizhaonensis,1.580000043,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,45,,2829,14,2888,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-25,6.7,MEGAHIT v. 1.2.9,,,PRJNA1050779,PRJNA1050779,,Investigating the relationship between microbial network features of giant kelp seedbank cultures and subsequent farm performance,SAMN39639750,isolate,CB.60.F.D1_21_18,,PRJNA1050779,,2018-02-01,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,gametophyte,"USA:California, Camp Pendleton",Macrocystis pyrifera,,,CB.60.F.D1_21_18,,CB.60.F.D1_21_18,,spore release from mature blade,2024-03-15T11:50:35.611,not collected,MIMAG.plant-associated,,University of Southern California,MIMAG.plant-associated.6.0,,2024-01-30T00:00:00.000,,live,2024-01-30T08:16:17.038,,2024-01-28T17:53:11.463,,Contig,ASM3996825v1,derived from metagenome,,,,,2024-05-30,Illumina S4 Novaseq,current,University of Southern California,haploid,3020276,2,1364656,1680552,55.5,44.531,17,17,17,2,1364656,,3020276,3020276,,,,,,,,GCA_039968255.1,CB.60.F.D1_21_18,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBDVQD01,https://www.ncbi.nlm.nih.gov/nuccore/JBDVQD000000000.1
GCA_039968745.1,Marinomonas sp.,81.77999878,GCA_012972675.1,1.470000029,type,Pontixanthobacter rizhaonensis,1.720000029,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,49,,3115,11,3175,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-25,6.7,MEGAHIT v. 1.2.9,,,PRJNA1050779,PRJNA1050779,,Investigating the relationship between microbial network features of giant kelp seedbank cultures and subsequent farm performance,SAMN39639725,isolate,AQ.20.F.C2_2_008,,PRJNA1050779,,2018-01-23,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,gametophyte,"USA:California, Arroyo Quemado",Macrocystis pyrifera,,,AQ.20.F.C2_2_008,,AQ.20.F.C2_2_008,,spore release from mature blade,2024-03-15T11:50:35.136,not collected,MIMAG.plant-associated,,University of Southern California,MIMAG.plant-associated.6.0,,2024-01-30T00:00:00.000,,live,2024-01-30T08:16:16.743,,2024-01-28T17:53:11.216,,Contig,ASM3996874v1,derived from metagenome,,,,,2024-05-30,Illumina S4 Novaseq,current,University of Southern California,haploid,3284050,2,999520,1825121,55.5,4.279,32,32,32,2,999520,,3284050,3284050,,,,,,,,GCA_039968745.1,AQ.20.F.C2_2_008,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBDVPE01,https://www.ncbi.nlm.nih.gov/nuccore/JBDVPE000000000.1
GCA_039970455.1,Marinomonas sp.,82.48999786,GCA_000521805.1,33.41999817,type,Marinomonas ushuaiensis,33.43000031,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,58,,3221,11,3290,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-25,6.7,MEGAHIT v. 1.2.9,,,PRJNA1050779,PRJNA1050779,,Investigating the relationship between microbial network features of giant kelp seedbank cultures and subsequent farm performance,SAMN39639640,isolate,CB.49.F.A1_179_17,,PRJNA1050779,,2018-02-01,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,gametophyte,"USA:California, Camp Pendleton",Macrocystis pyrifera,,,CB.49.F.A1_179_17,,CB.49.F.A1_179_17,,spore release from mature blade,2024-03-15T11:50:33.528,not collected,MIMAG.plant-associated,,University of Southern California,MIMAG.plant-associated.6.0,,2024-01-30T00:00:00.000,,live,2024-01-30T08:16:15.832,,2024-01-28T17:53:10.360,,Contig,ASM3997045v1,"annotation fails MAG completeness check,derived from metagenome",,,,,2024-05-30,Illumina S4 Novaseq,current,University of Southern California,haploid,3343365,45,24281,1417472,42.5,8.885,207,207,207,45,24281,,3343365,3343365,85.34999847,15.78950024,3,Marinomonas,genus,1904862,v1.2.2,GCA_039970455.1,CB.49.F.A1_179_17,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBDVLX01,https://www.ncbi.nlm.nih.gov/nuccore/JBDVLX000000000.1
GCA_039974025.1,Marinomonas sp.,82.75,GCA_000521805.1,34.40000153,type,Marinomonas ushuaiensis,36.56000137,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,58,,3348,23,3429,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-25,6.7,MEGAHIT v. 1.2.9,,,PRJNA1050779,PRJNA1050779,,Investigating the relationship between microbial network features of giant kelp seedbank cultures and subsequent farm performance,SAMN39640262,isolate,CI.62.F.A4_427_84,,PRJNA1050779,,2018-01-29,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,gametophyte,"USA:California, Channel Islands",Macrocystis pyrifera,,,CI.62.F.A4_427_84,,CI.62.F.A4_427_84,,spore release from mature blade,2024-03-15T11:50:45.363,not collected,MIMAG.plant-associated,,University of Southern California,MIMAG.plant-associated.6.0,,2024-01-30T00:00:00.000,,live,2024-01-30T08:16:23.050,,2024-01-28T17:59:06.610,,Contig,ASM3997402v1,"annotation fails MAG completeness check,derived from metagenome",,,,,2024-05-30,Illumina S4 Novaseq,current,University of Southern California,haploid,3552024,23,46249,1505656,42.5,12.53,103,103,103,23,46249,,3552024,3552024,86.01999664,21.05260086,3.559999943,Marinomonas,genus,1904862,v1.2.2,GCA_039974025.1,CI.62.F.A4_427_84,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBDWJV01,https://www.ncbi.nlm.nih.gov/nuccore/JBDWJV000000000.1
GCA_039976935.1,Marinomonas sp.,81.41000366,GCA_012972675.1,1.539999962,type,Pontixanthobacter rizhaonensis,1.690000057,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,47,,2943,8,2998,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-25,6.7,MEGAHIT v. 1.2.9,,,PRJNA1050779,PRJNA1050779,,Investigating the relationship between microbial network features of giant kelp seedbank cultures and subsequent farm performance,SAMN39640118,isolate,AQ.61.F.B5_39_005,,PRJNA1050779,,2018-01-23,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,gametophyte,"USA:California, Arroyo Quemado",Macrocystis pyrifera,,,AQ.61.F.B5_39_005,,AQ.61.F.B5_39_005,,spore release from mature blade,2024-03-15T11:50:42.515,not collected,MIMAG.plant-associated,,University of Southern California,MIMAG.plant-associated.6.0,,2024-01-30T00:00:00.000,,live,2024-01-30T08:16:21.462,,2024-01-28T17:53:15.300,,Contig,ASM3997693v1,derived from metagenome,,,,,2024-05-30,Illumina S4 Novaseq,current,University of Southern California,haploid,3060481,2,1131850,1707144,56,4.521,115,115,115,2,1131850,,3060481,3060481,,,,,,,,GCA_039976935.1,AQ.61.F.B5_39_005,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBDWEH01,https://www.ncbi.nlm.nih.gov/nuccore/JBDWEH000000000.1
GCA_039977275.1,Marinomonas sp.,80.52999878,GCA_012972675.1,1.440000057,type,Pontixanthobacter rizhaonensis,1.559999943,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,42,,2809,9,2860,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-05-25,6.7,MEGAHIT v. 1.2.9,,,PRJNA1050779,PRJNA1050779,,Investigating the relationship between microbial network features of giant kelp seedbank cultures and subsequent farm performance,SAMN39640101,isolate,AQ.09.F.A3_38_21,,PRJNA1050779,,2018-01-23,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,gametophyte,"USA:California, Arroyo Quemado",Macrocystis pyrifera,,,AQ.09.F.A3_38_21,,AQ.09.F.A3_38_21,,spore release from mature blade,2024-03-15T11:50:42.190,not collected,MIMAG.plant-associated,,University of Southern California,MIMAG.plant-associated.6.0,,2024-01-30T00:00:00.000,,live,2024-01-30T08:16:21.276,,2024-01-28T17:53:15.120,,Contig,ASM3997727v1,derived from metagenome,,,,,2024-05-30,Illumina S4 Novaseq,current,University of Southern California,haploid,3020532,2,705270,1655707,55,27.142,11,11,11,2,705270,,3020532,3020532,,,,,,,,GCA_039977275.1,AQ.09.F.A3_38_21,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBDWDQ01,https://www.ncbi.nlm.nih.gov/nuccore/JBDWDQ000000000.1
