protein,qseqid,query accession,sseqid,sscinames,bitscore,evalue,length,qlen,qcovs,slen,pident,staxids,stitle
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MDK2776215.1|,Pseudomonadota bacterium,740,0,458,478,96,468,78.384,1977087,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadota bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_296981984.1|,unclassified Thalassolituus,739,0,450,478,94,469,79.778,1899355;1947653;1947665;2030822;2624967,MULTISPECIES: nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [unclassified Thalassolituus]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_320818648.1|,Thalassolituus sp.,722,0,450,478,94,464,78.222,2030822,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Thalassolituus sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_290575577.1|,Ketobacter sp.,699,0,450,478,94,464,75.111,2083498,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Ketobacter sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MFO1368822.1|,Marinagarivorans sp.,699,0,451,478,94,461,75.166,2023283,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Marinagarivorans sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MEE2730204.1|,Pseudomonadota bacterium,699,0,450,478,94,464,75.111,1977087,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadota bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MAR89768.1|,Pseudomonadales bacterium,697,0,450,478,94,464,75.111,1891229;1977087,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadales bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MAA58718.1|,Pseudomonadales bacterium,696,0,450,478,94,464,74.444,1891229;1913989;1977087;2083498,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadales bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_290584897.1|,unclassified Ketobacter,696,0,450,478,94,464,74.444,2072747;2083498;2639109,MULTISPECIES: nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [unclassified Ketobacter]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MGB1060893.1|,Ketobacter sp.,695,0,447,478,94,458,74.72,2083498,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Ketobacter sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|TNC84543.1|,Alcanivorax sp.,694,0,450,478,94,464,74.222,1872427,MAG: nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Alcanivorax sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MBA55572.1|,Pseudomonadales bacterium,693,0,450,478,94,464,74,1891229,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadales bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|RLU02519.1|,Ketobacter sp.,692,0,450,478,94,464,74,2083498,MAG: nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Ketobacter sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_283173841.1|,Parathalassolituus penaei,684,0,447,478,93,463,76.51,2997323,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Parathalassolituus penaei]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_160965886.1|,Pseudomaricurvus sp. HS19,682,0,452,478,95,463,72.566,2692626,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomaricurvus sp. HS19]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,dbj|GAB1260409.1|,Cellvibrionaceae bacterium NBRC 116180,682,0,460,478,94,475,70,3157693,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Cellvibrionaceae bacterium NBRC 116180]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_135441257.1|,Mangrovimicrobium sediminis,679,0,451,478,94,463,71.619,2562682,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Mangrovimicrobium sediminis]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,dbj|BFR61757.1|,Cellvibrionaceae bacterium NBRC 116180,678,0,460,478,94,475,70,3157693,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Cellvibrionaceae bacterium NBRC 116180]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_418259624.1|,Haliea sp. E17,677,0,467,478,98,463,70.664,3401576,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Haliea sp. E17]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|TNE76734.1|,Gammaproteobacteria bacterium,673,0,453,478,95,464,72.627,1913989,MAG: nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Gammaproteobacteria bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|NPU93497.1|,Gammaproteobacteria bacterium,655,0,449,478,94,457,69.042,1913989,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Gammaproteobacteria bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_221797308.1|,Oceanobacter mangrovi,652,0,453,478,95,464,68.212,2862510,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Oceanobacter mangrovi]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MFZ5605550.1|,Pseudomonadota bacterium,652,0,449,478,94,459,68.82,1977087,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadota bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MCG8314918.1|,Pseudomonadales bacterium,632,0,457,478,95,478,64.77,1891229,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadales bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_276784461.1|,Thalassolituus oleivorans,631,0,451,478,94,457,67.849,187493,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Thalassolituus oleivorans]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MBL4832559.1|,Pseudomonas sp.,630,0,451,478,94,457,67.627,306,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MFT3931133.1|,Spongiibacteraceae bacterium,630,0,451,478,94,459,66.741,2026793,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Spongiibacteraceae bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_304843987.1|,Fluviicoccus sp.,628,0,456,478,95,461,66.447,2003552,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Fluviicoccus sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_045825339.1|,Teredinibacter turnerae,627,0,454,478,94,461,65.859,2426,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Teredinibacter turnerae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_018415164.1|,Teredinibacter turnerae,625,0,454,478,94,461,65.639,2426;1056819;1070977;1206095,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Teredinibacter turnerae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_018277211.1|,Teredinibacter turnerae,624,0,454,478,94,461,65.419,2426;1056820,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Teredinibacter turnerae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_015820369.1|,Teredinibacter turnerae,624,0,454,478,94,461,65.859,2426;377629;1056818;1073969,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Teredinibacter turnerae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_339075257.1|,Teredinibacter turnerae,624,0,454,478,94,461,65.859,2426,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Teredinibacter turnerae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_018013653.1|,Teredinibacter turnerae,624,0,454,478,94,461,65.859,2426;1056817,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Teredinibacter turnerae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,dbj|GAB2197320.1|,Sessilibacter sp. MAH3,624,0,457,478,95,476,66.083,3394572;3394573,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Sessilibacter sp. MAH3]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MBM96992.1|,Oceanospirillaceae bacterium,623,0,456,478,95,470,67.325,1899355,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Oceanospirillaceae bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,dbj|GAB2190327.1|,Sessilibacter sp. MAH1,623,0,457,478,95,476,65.864,3394570;3394571,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Sessilibacter sp. MAH1]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_317929961.1|,Halioxenophilus sp. WMMB6,622,0,458,478,94,479,64.847,3073815,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Halioxenophilus sp. WMMB6]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MAR01319.1|,Oceanospirillaceae bacterium,618,0,450,478,94,458,65.333,1899355;1914300,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Oceanospirillaceae bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,tpg|HEX4974479.1|,Pseudomonadales bacterium,617,0,451,478,94,458,64.967,1891229,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadales bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_233089727.1|,Sessilibacter corallicola,614,0,454,478,94,457,66.52,2904075,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Sessilibacter corallicola]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_229606647.1|,Pseudomonas,612,0,451,478,94,458,66.075,286;2892443;3252651,MULTISPECIES: nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_044617326.1|,Gynuella sunshinyii,610,0,447,478,93,465,65.324,1445505;1445510,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Gynuella sunshinyii]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MCG8534950.1|,Pseudomonadales bacterium,607,0,454,478,94,467,62.775,1891229,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadales bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_036190082.1|,Marinobacterium lacunae,602,0,451,478,94,460,65.41,1232683,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Marinobacterium lacunae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,emb|SMF28499.1|,Alteromonadaceae bacterium Bs31,601,0,451,478,94,466,63.415,1304903,nitrogenase molybdenum-iron protein NifN [Alteromonadaceae bacterium Bs31]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_090347264.1|,Pseudomonas oryzae,601,0,457,478,96,458,66.083,1392877,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas oryzae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MBR9882899.1|,Oceanospirillales bacterium,600,0,451,478,94,460,65.41,1914300,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Oceanospirillales bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|OHC70628.1|,Pseudomonadales bacterium RIFCSPLOWO2_02_FULL_63_210,599,0,448,478,94,458,64.286,1802007,MAG: nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadales bacterium RIFCSPLOWO2_02_FULL_63_210]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_183166812.1|,Azomonas macrocytogenes,598,0,449,478,94,455,65.924,69962,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azomonas macrocytogenes]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_172150875.1|,Pseudomonas tumuqii,598,0,448,478,94,458,64.062,2715755,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas tumuqii]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_075185638.1|,Teredinibacter haidensis,597,0,452,478,94,460,62.832,2731755,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Teredinibacter haidensis]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_320548680.1|,Pseudomonas sp. AN-1,596,0,457,478,96,458,65.427,3096605,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas sp. AN-1]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MEM0910295.1|,Pseudomonadota bacterium,596,0,453,478,94,455,63.355,1977087,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadota bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_065835940.1|,Pseudomonas syringae,595,0,448,478,94,458,64.286,317,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas syringae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_201485700.1|,Pseudomonas sp. OF001,595,0,457,478,96,458,65.646,2772300,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas sp. OF001]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_132286922.1|,Marinobacterium mangrovicola,594,0,450,478,94,460,63.556,1476959,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Marinobacterium mangrovicola]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_136491674.1|,Pseudomonas sp. A-1,594,0,457,478,96,458,65.864,1821274,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas sp. A-1]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MBS99354.1|,Oceanospirillaceae bacterium,594,0,462,478,96,461,63.42,1899355,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Oceanospirillaceae bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_104002699.1|,Marinobacterium lutimaris,593,0,450,478,94,460,62.889,568106,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Marinobacterium lutimaris]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_027854798.1|,Marinobacterium litorale,593,0,462,478,96,461,63.203,404770;1122201,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Marinobacterium litorale]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_102654340.1|,Billgrantia endophytica,593,0,451,478,94,460,67.184,2033802,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Billgrantia endophytica]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_428239426.1|,Gynuella sp.,590,0,450,478,94,465,64.667,2969146,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Gynuella sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_092432474.1|,Geopseudomonas sagittaria,589,0,448,478,94,458,66.071,1135990,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Geopseudomonas sagittaria]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,tpg|HYQ39294.1|,Pseudomonas sp.,588,0,448,478,94,459,64.955,306,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_217414958.1|,Marinobacterium ramblicola,588,0,451,478,94,460,62.971,2849041,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Marinobacterium ramblicola]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_188748012.1|,Marinobacterium zhoushanense,588,0,451,478,94,460,63.193,1679163,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Marinobacterium zhoushanense]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MCM2321480.1|,Pseudomonas sp.,588,0,457,478,96,458,65.427,306,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MCQ4346756.1|,Stutzerimonas stutzeri,584,0,457,478,96,458,65.864,316,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Stutzerimonas stutzeri]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|NNM51971.1|,Pseudomonadales bacterium,584,0,457,478,95,463,62.144,1891229,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadales bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MEJ2645700.1|,Gammaproteobacteria bacterium,583,0,458,478,95,470,61.572,1913989,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Gammaproteobacteria bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_349572208.1|,Azotobacter salinestris,583,0,448,478,94,458,63.616,69964,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter salinestris]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_152387820.1|,Azotobacter salinestris,581,0,448,478,94,458,63.393,69964,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter salinestris]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_039800846.1|,Azotobacter chroococcum,581,0,448,478,94,458,63.616,353;1328314,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter chroococcum]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_089166740.1|,Azotobacter chroococcum,581,0,448,478,94,458,63.393,353,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter chroococcum]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_131339938.1|,Azotobacter chroococcum,580,0,448,478,94,458,63.393,353;2528971,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter chroococcum]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_165893573.1|,Azotobacter chroococcum,580,0,448,478,94,458,63.393,353,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter chroococcum]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_131253862.1|,Azotobacter chroococcum,580,0,448,478,94,458,63.393,353,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter chroococcum]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_136888215.1|,Azotobacter chroococcum,580,0,448,478,94,458,63.393,353,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter chroococcum]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_131298265.1|,Azotobacter chroococcum,578,0,448,478,94,458,63.393,353,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter chroococcum]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_090938100.1|,Azotobacter beijerinckii,578,0,448,478,94,458,63.616,170623,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter beijerinckii]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_131189638.1|,Stutzerimonas kirkiae,577,0,448,478,94,458,64.732,2211392,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Stutzerimonas kirkiae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_386364803.1|,Stutzerimonas tarimensis,577,0,448,478,94,458,65.848,1507735,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Stutzerimonas tarimensis]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MEJ2059332.1|,Gammaproteobacteria bacterium,576,0,449,478,94,460,60.356,1913989,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Gammaproteobacteria bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MEJ2141948.1|,Gammaproteobacteria bacterium,576,0,450,478,94,460,60.667,1913989,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Gammaproteobacteria bacterium]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_317686351.1|,Azotobacter beijerinckii,576,0,448,478,94,458,63.393,170623,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter beijerinckii]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_131187787.1|,Stutzerimonas kirkiae,575,0,448,478,94,458,64.732,2211392,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Stutzerimonas kirkiae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_090619173.1|,Azotobacter beijerinckii,574,0,448,478,94,458,63.17,170623,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter beijerinckii]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_090731367.1|,Azotobacter beijerinckii,574,0,448,478,94,458,63.17,170623,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter beijerinckii]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MBB3103901.1|,Azomonas macrocytogenes,574,0,431,478,90,434,65.661,69962,nitrogenase molybdenum-iron protein NifN [Azomonas macrocytogenes]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_131183844.1|,Stutzerimonas kirkiae,574,0,448,478,94,458,64.732,2211392,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Stutzerimonas kirkiae]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,ref|WP_090899904.1|,Azotobacter beijerinckii,573,0,448,478,94,458,62.946,170623,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Azotobacter beijerinckii]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,tpg|HEY6612486.1|,Pseudomonas sp.,571,0,437,478,91,444,65.675,306,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonas sp.]
NifN,ARC_Gamma03___contig_1_3146,ARC_Gamma03,gb|MEW5756141.1|,Pseudomonadota bacterium,570,0,451,478,94,469,60.089,1977087,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN [Pseudomonadota bacterium]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_369855650.1|,Candidatus Thalassolituus haligoni,972,0,470,470,100,470,100,3100113,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Candidatus Thalassolituus haligoni]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_416207411.1|,Oceanobacter antarcticus,967,0,470,470,100,470,99.362,3133425,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Oceanobacter antarcticus]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_305452069.1|,unclassified Oceanobacter,922,0,469,470,99,475,93.39,2620260;3062618;3062619;3062623,MULTISPECIES: nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [unclassified Oceanobacter]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_305415616.1|,Oceanobacter sp. 3_MG-2023,921,0,469,470,99,475,93.39,3062622,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Oceanobacter sp. 3_MG-2023]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_303433651.1|,Oceanobacter sp. 5_MG-2023,919,0,469,470,99,475,93.177,3062645,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Oceanobacter sp. 5_MG-2023]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_320818647.1|,Thalassolituus sp.,883,0,469,470,99,471,88.913,2030822,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Thalassolituus sp.]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,gb|MAK92987.1|,Thalassolituus sp.,883,0,471,470,100,471,89.809,2030822,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Thalassolituus sp.]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_296981982.1|,unclassified Thalassolituus,882,0,471,470,100,471,89.809,1899355;1947653;1947665;2624967,MULTISPECIES: nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [unclassified Thalassolituus]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,gb|MBL4832558.1|,Pseudomonas sp.,873,0,461,470,98,472,90.022,306,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Pseudomonas sp.]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_276784463.1|,Thalassolituus oleivorans,872,0,461,470,98,472,90.022,187493,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Thalassolituus oleivorans]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,gb|MAR89769.1|,Pseudomonadales bacterium,868,0,470,470,100,468,88.085,1891229;1977087,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Pseudomonadales bacterium]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_160965888.1|,Pseudomaricurvus sp. HS19,868,0,470,470,100,468,87.447,2692626,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Pseudomaricurvus sp. HS19]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,gb|MAX99583.1|,Oceanospirillaceae bacterium,866,0,471,470,100,471,88.323,1899355,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Oceanospirillaceae bacterium]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_418259625.1|,Haliea sp. E17,865,0,470,470,100,471,88.298,3401576,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Haliea sp. E17]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_221797306.1|,Oceanobacter mangrovi,863,0,458,470,97,490,88.865,2862510,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Oceanobacter mangrovi]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,ref|WP_135441256.1|,Mangrovimicrobium sediminis,863,0,456,470,97,468,90.57,2562682,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Mangrovimicrobium sediminis]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,dbj|BFR61758.1|,Cellvibrionaceae bacterium NBRC 116180,862,0,461,470,98,475,88.503,3157693,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Cellvibrionaceae bacterium NBRC 116180]
NifE,ARC_Gamma03___contig_1_3147,ARC_Gamma03,gb|MAD47667.1|,Oceanospirillaceae bacterium,861,0,470,470,99,471,87.234,1899355,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE [Oceanospirillaceae bacterium]
